PSC CODE,PRODUCT AND SERVICE CODE NAME,START DATE,END DATE,PRODUCT AND SERVICE CODE FULL NAME,PRODUCT AND SERVICE CODE EXCLUDES,PRODUCT AND SERVICE CODE NOTES,PRODUCT AND SERVICE CODE INICLUDES
4940,MISCELLANEOUS MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,2011-10-01,,Miscellaneous Maintenance and Repair Shop Specialized Equipment,Hand Tools (FSG 51).,,Paint Spraying Equipment.
4960,"SPACE VEHICLE MAINTENANCE, REPAIR, AND CHECKOUT SPECIALIZED EQUIPMENT",2011-10-01,,"Space Vehicle Maintenance, Repair, and Checkout Specialized Equipment","Checkout and Test Equipment used with both Guided Missiles and Space Vehicles; Specially designed Internal (built-in) Checkout Equipment  for Remote Control Systems; Basic types of Electrical and Electronic Test  Instruments, including those specially designed, such as ammeters, ohmmeters, multimeters, and similar instruments, as shown in the indexes to the FSC.",,"Checkout and Test Equipment specially designed for use with Space Vehicles, including Remote Control Systems."
4970,"MULTIPLE GUIDED WEAPONS, SPECIALIZED MAINTENANCE AND REPAIR SHOP EQUIPMENT",2011-10-01,,"Multiple Guided Weapons, Specialized Maintenance and Repair Shop Equipment",,"Maintenance, test, checkout and repair shop equipment designed to test, maintain, fault isolate and repair multiple guided weapon systems.  For equipment designed to be used with only one specific system see the individual FSC indexed (i.e. 4921, 4927, 4935).",
51,HAND TOOLS,1979-10-01,,,,,
5110,"HAND TOOLS, EDGED, NONPOWERED",1978-10-15,,"Hand Tools, Edged, Nonpowered",,,Chisels; Files; Pipe Cutters; Rasps; Saws; Screw Plates; Axes; Hatchets; Machetes.
5120,"HAND TOOLS, NONEDGED, NONPOWERED",1978-10-15,,"Hand Tools, Nonedged, Nonpowered","Craftsman's Measuring Tools; Gardening Rakes, Forks, Hoes, and  other Garden Tools.",,"Hammers; Picks; Pliers, except pliers for cutting only; Screwdrivers; Shovels; Construction Rakes, Forks and Hoes; Jacks, including Contractors' Jacks;  Wrecking Bars; Glue Pots; Blowtorches."
5130,"HAND TOOLS, POWER DRIVEN",1978-10-15,,"Hand Tools, Power Driven",,,"Drills; Riveters; Portable Electric Saws; Pneumatic Tools; Abrasive  Wheels, Cones and other Abrasive Attachments for use only on Hand Held  Power Tools."
5133,"DRILL BITS, COUNTERBORES, AND COUNTERSINKS: HAND AND MACHINE",2011-10-01,,"Drill Bits, Counterbores, and Countersinks; Hand and Machine",,,
5136,"TAPS, DIES, AND COLLETS; HAND AND MACHINE",2011-10-01,,"Taps, Dies, and Collets; Hand and Machine","Punching, Stamping, and Marking Dies.",,"Punching, Stamping, and Marking Dies."
5140,TOOL AND HARDWARE BOXES,1978-10-15,,Tool and Hardware Boxes,,,
5180,"SETS, KITS, AND OUTFITS OF HAND TOOLS",2011-10-01,,"Sets, Kits, and Outfits of Hand Tools",,"This class includes sets, kits, and outfits consisting of several different item classifiable either in a single class or in several classes.  Excluded from this class are sets, kits, and outfits consisting of variations (such as size or color) of an item. Classify these items in the same class as the individual item.",
52,MEASURING TOOLS,1979-10-01,,,,,
5210,"MEASURING TOOLS, CRAFTSMEN'S",1978-10-15,,"Measuring Tools, Craftsmen's",,"This class does not include special inspection gages, which are classified  in class 5220.",Calipers; Levels; Micrometers; Plumb Bobs; Precision Tapes; Squares; Angle Gages; Center Gages; Depth Gages; Draw Gages; Drill Point Gages; Fillet and  Radius Gages; Glaziers' Gages; Height Gages (Vernier); Planer Gages; Rivet Selector Gages; Saw Tooth Set Gages; Screw Pitch Gages; Surface Gages; Telescoping Gages; Thickness Gages; Tube Bead Gages; Tube Flare Gages;  Twist Drill Gages; Twist Drill and Rod Gages; Twist Drill and Tap Gages; Taper-Wire-Thickness Gages; Wire Gages; Tool Setting Planer and Shaper Gages; Gage Blocks.
5220,INSPECTION GAGES AND PRECISION LAYOUT TOOLS,2011-10-01,,Inspection Gages and Precision Layout Tools,,Special inspection gages are included in this class.,"Go and Not-Go Gages, including Plug, Ring, Snap, Thread, and  Length Gages; Profile Gages; Fixture Gages; Special Inspection Gages."
5280,"SETS, KITS, AND OUTFITS OF MEASURING TOOLS",2011-10-01,,"Sets, Kits, and Outfits of Measuring Tools",,,
53,HARDWARE AND ABRASIVES,1979-10-01,,,,,
5305,SCREWS,1978-10-15,,Screws,,,
5306,BOLTS,1978-10-15,,Bolts,,,
5307,STUDS,1978-10-15,,Studs,,,
5310,NUTS AND WASHERS,1978-10-15,,Nuts and Washers,Bearing Thrust Washers (FSC 3120); Shims (FSC 5365); Ring Spacers (FSC 5365); Plate Spacers (FSC 5365); Lock Rings (FSC 5365).,"Nuts and washers, including specially designed, are to be classified in this FSC.  a.  Nuts are a small metal block made in a variety of shapes such as square and hexagonal which is drilled and internally threaded.  b.  Washers are a perforated piece of metal, leather, or other materials of various shapes or forms.  They are used primarily as a seat for a bolt, nut, screw, rivet or nail to distribute pressure and prevent endwise motion over an area and/or to prevent movement between two parts by means of restraining features created by the shape of its edges.",Locknuts; Eye Nuts; Plain Nuts; Castellated Nuts; Wing Nuts; Plate Nuts; Push on Nuts; Concave and Convex Washers; Flat Washers; Keyed Washers; Lock Washers; Shouldered Washers; Split Washers.
5315,"NAILS, MACHINE KEYS, AND PINS",1978-10-15,,"Nails, Machine Keys, and Pins",Shafts (FSC 3040); Lock Keys (FSC 5340).,"Nails, machine keys, and pins, including specially designed, will be classified in this FSC.  a.  Nails are slender, usually pointed fasteners with a head, and designed for insertion by impact.  b.  Machine keys are items generally inserted between two items, usually in a groove, to prevent relative rotation, e.g., shaft and hub,  c.  Pins are cylindrical items of various materials used to align/attach two or more parts together and may allow for angular movement.","Dowel Pins, Split Pins; Spikes; Tacks; Nonoffice Type Staples; Machine  Keys; Brads; Shouldered Pins; Cotter  Pins; Nails."
5320,RIVETS,1978-10-15,,Rivets,,,
5325,FASTENING DEVICES,1978-10-15,,Fastening Devices,,,Eyelets; Grommets; Aircraft Cowling Fasteners; Textile Fasteners; Retaining Rings; Threaded Inserts.
5330,PACKING AND GASKET MATERIALS,1978-10-15,,Packing and Gasket Materials,"O-Rings (FSC 5331); Bulk material items, such as; Rubber, Cork, and Asbestos Sheets and Strips (FSG 93); Liquid Gasket Materials (RTV), Permatex, etc.) (FSG 80); RFI and EMI Seals and Gaskets (FSC 5999), and all Seal Retainers.","This FSC includes only seals and gaskets designed for standard use.  Seals, gaskets and packing are made from materials specifically designed and constructed to resist deterioration from the action of heat, gas, chemicals, liquids, and used to fill a cavity and create a tight seal.  Similar materials used to make seals, gaskets and packing are available in bulk form, refer to FSG 93, FSG 80, and FSG 83.","General Purpose Oil Grease, Air, Liquid, Gas, and chemical Seals; Oakum; Prefabricated Gaskets and Seals designed for a single specific application."
5331,O-RING,1998-10-01,,O-Ring,Packing and Gasket Material (FSC 5330).,,
5335,METAL SCREENING,1978-10-15,,Metal Screening,Fencing (FSC 5660).,Metal Screening is a perforated plate or cylinder or a meshed wire fabric usually mounted and used to separate coarse from finer parts.,Insect Screening; Industrial Metal Cloth; Industrial Metal Mesh.
5340,"HARDWARE, COMMERCIAL",2011-10-01,,Hardware,Weapons System Hardware (5342).,"Common hardware designed primarily for commercial use will be classified in this FSC.  Hardware is the physical, tangible, and permanent components of end items that may not be classified elsewhere.  It consists also of common items that are commonly used in construction and/or manufacturing (e.g., hinges, door locks).",Access Covers; Bumpers; Casters; Cabinet and Door Hardware; Clevises; Hinges; Latches; Straps and Strapping; Turnbuckles; Webbed Straps.
5342,"HARDWARE, WEAPON SYSTEM",1998-10-01,,"Hardware, Weapon System",Commercial Hardware (FSC 5340).,Hardware designed for weapon systems unique applications will be classified in this FSC.,Adapters; Anchor Plates and Straps; Anodes; Bellows; Couplings; Control Rods; Access Doors; Fairleads; Mounts; Tie Rods; Yokes.
5345,"DISKS AND STONES, ABRASIVE",1978-11-15,,"Disks and Stones, Abrasive","Dental Abrasives; Abrasive Cones, and other Abrasive Attachments for equipment.",,"Abrasive Belts and Belting; Hones; Abrasive Wheels, Multiapplication."
5350,ABRASIVE MATERIALS,1978-10-15,,Abrasive Materials,,,Cloth; Papers; Powders; Abrasive Polishing Compounds; Metal  Finishing Abrasives; Industrial Diamonds; Diamond Dust; Rouge.
5355,KNOBS AND POINTERS,1979-08-15,,Knobs and Pointers,,,"Knobs, including Calibrated Knobs; Dials, Scale."
5360,"COIL, FLAT, LEAF, AND WIRE SPRINGS",1978-10-15,,"Coil, Flat, Leaf, and Wire Springs",,"All springs, including specially designed will be classified in this FSC.  A spring is an elastic mechanical device that regains its original shape after being compressed, extended or deflected.",Compression Springs; Torsion Springs; Leaf Spring Assemblies; Flat Springs; Extension Springs.
5365,"BUSHINGS, RINGS, SHIMS, AND SPACERS",2011-10-01,,"Bushings, Rings, Shims and Spacers","Sleeve Bearings (FSC 3120); Pipe Threaded Plugs (FSC 4730); Piston Rings (FSC 2520, 2805, 2810, 2815, 2825, 2990, 3040, 4310 and 4820); Retaining Rings (FSC 5325); Shim Stock (FSC 9515).","All items, including specially designed, will be classified in this FSC.  a.  A bushing is cylindrical in shape, hollow, and designed primarily to be inserted into a hole to reduce the effective inside diameter of the hole, and to protect the body structure about the hole, and to protect the body structure about the hole from damage resulting from stress, strain, and vibration.  b.  A ring is cylindrical in shape, usually flat with a center hole.  Rings are multi-applicational.  See specific item name for designated usage.  c.  A shim is a thin, sometimes tapered, piece of material used to fill in space between things.  See specific item name for dimensional parameters.  d.  A spacer is a device for holding two members at a given distance from each other.",Externally Threaded Rings; Keyed and Serrated Lock Rings; Dee Rings; Instrument Retaining Rings; Shim Sets and Assortments; Plate Spacers; Ring Spacers; Sleeve Spacers; Stepped Spacers; Spacer Sets and Assortments; Sleeve Bushings; Machine Threaded Bushings; Machine Threaded Plugs.
54,PREFAB STRUCTURES/SCAFFOLDING,1979-10-01,,,,,
5410,PREFABRICATED AND PORTABLE BUILDINGS,2011-10-01,,Prefabricated and Portable Buildings,,,Prefabricated Panels; Inflatable Shelters; Metal Screens and Metal Windows.
5411,RIGID WALL SHELTERS,1980-05-15,,Rigid Wall Shelters,,,Expandable and nonexpandable shelters.
5419,COLLECTIVE MODULAR SUPPORT SYSTEM,1991-10-01,,Collective Modular Support System,,,"Self-Contained habitat, containing facilities normally expected in a ""Rest and Recreational"" area, such as; billeting, food services, laundry, shower/hygiene services, recreational and support services that enhance morale and welfare."
5420,"BRIDGES, FIXED AND FLOATING",1978-10-15,,"Bridges, Fixed and Floating",Pontoons and Floating Docks (FSC 1945).,,Special Bridge Erection Equipment; Bridge Floats and Pontoons; Tramways; Trestles.
5430,STORAGE TANKS,1978-11-15,,Storage Tanks,Boiler Tanks (FSC 4410); Hot Water Tanks (FSC 4520).,,Assembled and Unassembled Tanks for storage only; Enclosures for Pressure and  Vacuum Tanks; Petroleum Bulk Storage Tanks.
5440,SCAFFOLDING EQUIPMENT AND CONCRETE FORMS,2011-10-01,,Scaffolding Equipment and Concrete Forms,Aircraft Ladders (FSC 1730); Fire Fighting Ladders (FSC 4210); Maintenance Ladders (FSC 4940); Marine Vessel Ladders (FSC 2090); Vehicle Ladders (FSC 2540).,,Prefabricated Concrete Placing Forms; Builders' Ladders and Stepladders; Suspension stages.
5445,PREFABRICATED TOWER STRUCTURES,1978-11-15,,Prefabricated Tower Structures,,,"Power Transmission Towers; Radar Towers; Searchlight Towers; Control Towers; Prefabricated Tower Components, such as Anchor  Rails, Tie Rods, Braces, Steps, Guy Assemblies; Specialized Tower Hardware."
5450,MISCELLANEOUS PREFABRICATED STRUCTURES,2011-10-01,,Miscellaneous Prefabricated Structures,,,Bleachers; Grandstands.
55,"LUMBER, MILLWORK, PLYWOOD, VENEER",1979-10-01,,,,,
5510,LUMBER AND RELATED BASIC WOOD MATERIALS,2011-10-01,,Lumber and Related Basic Wood Materials,Millwork (FSC 5520); Plywood and Veneer (FSC 5530); Prefabricated Non-Wood Items (FSC 5670).,,Dimensional Lumber; Wood Flooring; Mine Timbers; Poles; Railroad Ties; Wood Siding; Molding; Stakes.
5520,MILLWORK,1978-10-15,,Millwork,Molding (FSC 5510); Prefabricated Non-Wood Items (FSC 5670).,,Door Frames; Doors; Window Frames;  Window Sashes.
5530,PLYWOOD AND VENEER,1978-10-15,,Plywood and Veneer,,,Plywood and Veneered Panels.
56,CONSTRUCTION AND BUILDING MATERIAL,1979-10-01,,,,,
5610,"MINERAL CONSTRUCTION MATERIALS, BULK",2011-10-01,,"Mineral Construction Materials, Bulk","Block, Shaped; Brick.",,"Asphalt; Cinders; Gravel; Lime; Sand; Rough Dimension Stone, including Rubble; Cement;  Ballast."
5620,"TILE, BRICK AND BLOCK",2011-10-01,,"Tile, Brick, and Block",Glass Building Block (FSC 9340),,Concrete Building Block; Cinder Block; Slag Brick; Cut Stone; Cut and Polished Stone; Ceramic Floor and Wall Tile; Architectural Terra Cotta; Concrete Slabs and Grilles.
5630,"PIPE AND CONDUIT, NONMETALLIC",1979-02-15,,"Pipe and Conduit, Nonmetallic","Nonmetallic Pipe, Conduit, and Fittings for laboratory or electrical use; Hose and Tubing, Flexible Nonmetallic.",,Concrete Pipe and Conduit; Clay Pipe  and Conduit for underground use; Drain Tile; Nonmetallic Pipe Fittings for underground use.
5640,"WALLBOARD, BUILDING PAPER, AND THERMAL INSULATION MATERIALS",2011-10-01,,"Wallboard, Building Paper, and Thermal Insulation  Materials",Electrical Insulation Materials.,,Paper Building Board; Ceiling Board;  Gypsum Board; Insulating Board; Plasterboard;  Soundproofing Board; Tar Paper; Wallpaper;  Mineral Wool; Glass Wool Batts; Pipe Covering.
5650,ROOFING AND SIDING MATERIALS,1978-10-15,,Roofing and Siding Materials,Tar Paper; Bulk Sheet Metal Roofing and Siding; Wood Siding.,,"Roofing (all materials), including Sheet Metal; Roofing Felt; Roll Roofing; Roofing Tile; Shingles."
5660,"FENCING, FENCES, GATES AND COMPONENTS",2011-10-01,,"Fencing, Fences, Gates  and Compo- nents",,,
5670,"BUILDING COMPONENTS, PREFABRICATED",1978-11-15,,"Building Components, Prefabricated",Plumbing and Associated Components such as Sinks; Wallboard and Items  Classified as Furniture.,Items specified as Wooden are classified in  FSC 5520.,"Door Frames; Window Frames; Window Sashes; Eave Troughs (gutters); Gratings;  Grilles, Shutters; Fixed Fire Escapes; Mounted Partitions."
5675,NONWOOD CONSTRUCTION LUMBER AND RELATED MATERIALS,2011-10-01,,Nonwood Construction Lumber and Related Materials,Millwork and Wood Veneer (FSC's 5520 and 5530); Items specified as Wooden (FSC 5510).,,Nonwood Dimensional Lumber; Flooring; Special Turning and Carvings; Nonwood Veneer.
5680,MISCELLANEOUS CONSTRUCTION MATERIALS,2011-10-01,,Miscellaneous Construction Materials,,,Expanded Metal Lath; Airplane Landing  Mats; Traction Mats.
58,COMM/DETECT/COHERENT RADIATION,1979-10-01,,,,"Excludes oscillator items which should be classified in FSC 5955 or 5963; fiber optic items which should be classified in Group 60; electronic  modules as defined under Class 5963; and electrical  cable, cord and wire assemblies, harnesses and sets,   related to FSG 58 equipment (see FSC 5995).  In group  58, more than in any other group, it frequently happens  that the same name is listed as an index entry in each  of several classes.  In addition, that name may also  appear as an entry in groups other than 58.  Each such  entry refers to a distinctly different part or assembly, even though the different items have the same name. The listing of the same name in two or more classes  indicates that, in one form, the part or assembly  covered by the name is applicable to the equipment  covered by one class, and in another form is  applicable to the equipment covered by another  class.  For example, the item name CODER, AUDIO  FREQUENCY is applicable to two distinctly different assemblies, one of which has an application in  cryptologic equipment, covered by class 5810,  and the other in radar equipment covered by class 5840. Consequently the name CODER, AUDIO FREQUENCY is an entry  under each of the two classes.  When an item identification bears a name which  is indexed under more than one class of group 58, or in group 58 and in some other group, the item will be classified in the same class as its next  higher assembly in the manner described in the  Department of Defense, Federal Logistics Information System (FLIS) Procedures Manual, DoD 4100.39-M.  Also excluded from this group are data transmission and communications equipment such as terminals, sensors, and other devices designed for use with a configuration of ADPE.",
5805,TELEPHONE AND TELEGRAPH EQUIPMENT,1978-10-15,,Telephone and Telegraph Equipment,,,
5810,COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,2011-10-01,,Communications Security Equipment and Components,,,
5811,OTHER CRYPTOLOGIC EQUIPMENT AND COMPONENTS,2011-10-01,,Other Cryptologic Equipment and Components,,,
5815,TELETYPE AND FACSIMILE EQUIPMENT,1978-10-15,,Teletype and Facsimile Equipment,,,Ticker Tape and Sigtot Equipment.
5820,"RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",2011-10-01,,"Radio and Television Communication Equipment,  Except Airborne",Home Type Radio and Television Equipment.,,Telemetering Equipment.
5821,"RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE",2011-10-01,,"Radio and Television Communication Equipment, Airborne",,,Telemetering Equipment.
5825,"RADIO NAVIGATION EQUIPMENT, EXCEPT AIRBORNE",2011-10-01,,"Radio Navigation Equipment, Except Airborne",,,Loran Equipment; Shoran Equipment; Direction Finding Equipment.
5826,"RADIO NAVIGATION EQUIPMENT, AIRBORNE",2011-10-01,,"Radio Navigation Equipment, Airborne",,,Loran Equipment; Shoran Equipment; Direction Finding Equipment.
5830,"INTERCOMMUNICATION AND PUBLIC ADDRESS SYSTEMS, EXCEPT AIRBORNE",2011-10-01,,"Intercommunication and Public Address Systems,  Except Airborne",,,Wired Audio Systems; Office Type Systems;  Shipboard Systems; Tank Systems.
5831,"INTERCOMMUNICATION AND PUBLIC ADDRESS SYSTEMS, AIRBORNE",2011-10-01,,"Intercommunication and Public Address Systems, Airborne",,,
5835,SOUND RECORDING AND REPRODUCING EQUIPMENT,2011-10-01,,Sound Recording and Reproducing Equipment,"Phonographs, Home Type; Dictating Machines.",,"Phonographs, Home Type; Dictating Machines."
5836,VIDEO RECORDING AND REPRODUCING EQUIPMENT,2011-10-01,,Video Recording and Reproducing Equipment,,"This class includes, and is restricted to electronic video equipment such as video monitors, televisions, cameras, printers and recorders/ reproducers used with miscellaneous communication equipment.  Also included is associated equipment such as cleaners, splicers, rewinders, reels and tapes designed for use with video recording-reproducing equipment.  Excluded from the class is photographic type equipment (Group 67), ADP type computer monitors (Group 70), and video equipment which includes radio receivers/transmitters (properly classified in more specific classes in Group 58).",
5840,"RADAR EQUIPMENT, EXCEPT AIRBORNE",1978-10-15,,"Radar Equipment, Except Airborne",,Radar assemblies and subassemblies designed  specifically for use with fire control equipment  or guided missiles are excluded from this class and are included in the appropriate classes of group 12  or group 14.,
5841,"RADAR EQUIPMENT, AIRBORNE",1978-10-15,,"Radar Equipment, Airborne",,Radar assemblies and subassemblies designed  specifically for use with fire control equipment or  guided missiles are excluded from this class and are  included in the appropriate classes of group 12 or  group 14.,
5845,UNDERWATER SOUND EQUIPMENT,1978-10-15,,Underwater Sound Equipment,,This class excludes items specifically designed for fire control sonar systems.,Sonar Equipment; Underwater Listening  Equipment; Sonobuoys; Sonobuoy Launchers; Fathometers; Sonar Equipment.
5850,VISIBLE AND INVISIBLE LIGHT COMMUNICATION EQUIPMENT,2011-10-01,,Visible and Invisible Light Communication Equipment,,"This class includes only communication types  of infrared equipment. Excluded from this class are infrared assemblies, subassemblies, and components  designed specifically for use in fire control systems,  guided missile systems, test and maintenance specialized equipment, night vision equipment, and other  noncommunication types of equipment.",Heliographs.
5855,"NIGHT VISION EQUIPMENT, EMITTED AND REFLECTED RADIATION",2011-10-01,,"Night Vision Equipment, Emitted and Reflected Radiation","Optical sighting devices which incorporate both day and night viewing characteristics within an  integral unit for fire control purposes, nonnight vision type items designed for use with guided missiles, communications, or laboratory equipment, and Optical  Elements, such, as Lens, Prisms, Windows.","This class includes image forming devices and  associated aids, their subassemblies and components,  utilizing passive and/or active techniques for detection,  observation, and identification of terrain and objects  at night, while maintaining concealment afforded by darkness.  Includes items having multiapplication for purposes of fire control, and/or night observation, and/or detection. Excluded from this class are items for which more specific classifications are suitable as prescribed by the structure and indexes  of the FSC.","Sighting and Observation Devices; Target Detectors, Locators, Remote Viewing Systems utilizing heat radiation emitted from object(s), associated Radiation Sources, Image Converters and Image Intensifiers, Optical Cells and other components designed for Night Vision Equipment.  Holders and Lens used with Infrared Equipment are also included in this FSC."
5860,"STIMULATED COHERENT RADIATION DEVICES, COMPONENTS, AND ACCESSORIES",2011-10-01,,"Stimulated Coherent Radiation Devices, Components,  and Accessories",,"This class includes, and is restricted to,  devices the operation of which is based on principles  involving the stimulated emission of radiation, and to associated components and accessories directly related  to stimulated coherent radiation techniques.  The methods  for producing the radiation are those obtained by LASER  (Light Amplification by Stimulated Emission of Radiation) and by MASER (Microwave and/or Molecular Amplification by  Stimulated Emission of Radiation) techniques.  Only those  items specifically designed for stimulated coherent radiation applications, and having no other application, are to be included in this class.  Assemblies or major systems containing such devices are excluded from this  class.",
5865,"ELECTRONIC COUNTERMEASURES, COUNTER-COUNTERMEASURES AND QUICK REACTION CAPABILITY EQUIPMENT",2011-10-01,,"Electronic Countermeasures, Counter-Countermeasures and Quick Reaction Capability Equipment",,"This class includes, and is restricted to, passive and active electronic equipment, systems, and subsystems designed to prevent or reduce an enemy's effective use of radiated electromagnetic energy or designed to insure our own effective use of radiated electromagnetic energy.","Electronic Countermeasures, Electronic Counter-Countermeasures, Electronic Support Measures, and Quick Reaction Capability Equipment and components specially designed therefor which are not classifiable elsewhere in the FSC structure.  Excluded from this class are nonelectronic items which are properly classified in more specific classes in accordance with the FSC structure and indexes."
5895,MISCELLANEOUS COMMUNICATION EQUIPMENT,2011-10-01,,Miscellaneous Communication Equipment,Electronic Countermeasures Equipment.,This class includes miscellaneous communication equipment that is not classified in more specific classes. (See the NOTE for FSG 58.),Modems.
59,ELECTRICAL/ELECTRONIC EQPT COMPNTS,1979-10-01,,,,"Mounting hardware, included in classes of this group, includes such  specially designed items as brackets, holders, retainers, etc.  Excluded from classes  in this group are such hardware items as screws (FSC 5305), bolts (FSC 5306), studs (FSC 5307), washers (FSC 5310), rivets (FSC 5320), and other common items  indexed to specific classes, other than in group 59.  The FSC indexes and structure  will govern the classification of items used on or with mounting hardware cited above.",
5905,RESISTORS,1978-10-15,,Resistors,Resistance Wire.,,Varistors; Resistive Ballast Tubes; Rheostats; Resistor  Networks; Resistor Mounting Hardware; Thermistors.
5910,CAPACITORS,1978-10-15,,Capacitors,Semiconductor Devices and Associated Hardware.,,Interference Filter Capacitors; Capacitor Mounting Hardware.
5915,FILTERS AND NETWORKS,1978-10-15,,Filters and Networks,,"This class includes those filters and networks which consist of a  combination of resistors, capacitors, or coils, but not a combination of resistors  only (classified in 5905). capacitors only (classified in 5910), or coils only  (classified in 5950).",
5920,"FUSES, ARRESTORS, ABSORBERS, AND PROTECTORS",2011-10-01,,"Fuses, Arresters, Absorbers, and Protectors",Circuit Breakers.,,"Fuseholders; Fuse Boxes; Fuse Posts; Fuse Links; Fuse blocks;  Current Limiters.  Corona Balls, Electrostatic Dischargers."
5925,CIRCUIT BREAKERS,1978-10-15,,Circuit Breakers,Relays.,,Circuit Breakers and Cutouts.
5930,SWITCHES,1978-10-15,,Switches,Switchgear.,,"Rotary, Knife, Toggle.  Push Button, Mercury, Thermostatic,  and Differential Pressure Switches."
5935,"CONNECTORS, ELECTRICAL",1978-10-15,,"Connectors, Electrical","Interconnectors, Fiber Optic.",,Plugs; Jacks; Receptacles; Electronic Component Sockets and Associated Accessories.
5940,"LUGS, TERMINALS, AND TERMINAL STRIPS",2011-10-01,,"Lugs, Terminals, and Terminal Strips","Caps, Electrical; Clips Electrical; and Contacts, Electrical.",,Binding Posts; Battery Clips; Stud Terminals; Test Clips.
5945,RELAYS AND SOLENOIDS,1978-10-15,,Relays and Solenoids,Contactors.,,Electromagnetic Actuators.
5950,COILS AND TRANSFORMERS,1978-10-15,,Coils and Transformers,,,"Coils, except ignition and magneto; coil assemblies; magnetic amplifiers; reactors; transformers."
5955,OSCILLATORS AND PIEZOELECTRIC CRYSTALS,2011-10-01,,Oscillators and Piezoelectric Crystals,"Crystal Controlled Oscillators and Noncrystal Controlled Oscillators  which meet the definition of the term. ""electronic module"" as defined for FSC 5963 and Microcircuits.",,"Crystal Units, Processed Unmounted  Crystals, Crystal Controlled Oscillators and Noncrystal Controlled Oscillators."
5960,ELECTRON TUBES AND ASSOCIATED HARDWARE,2011-10-01,,Electron Tubes and Associated Hardware,Transistors; Tube Sockets; X-ray Tubes; Semiconductor Devices and Associated Hardware.,,Rectifying Tubes; Photoelectric Tubes; Electron Vibrator Tubes.
5961,SEMICONDUCTOR DEVICES AND ASSOCIATED HARDWARE,2011-10-01,,Semiconductor Devices and Associated Hardware,Microcircuits; Optoelectronic Devices and Associated Hardware.,,"Semiconductor Assemblies; Semiconductor Diodes; Semiconductor Rectifiers, Semiconductor Thyristors; Transistors; Unitized Semiconductors; Associated Hardware except Sockets."
5962,"MICROCIRCUITS, ELECTRONIC",1978-10-15,,"Microcircuits, Electronic",Single Circuit Elements such as Capacitors; Resistors; Diodes and Transistors; Printed Circuit Boards and- Circuit Card Assemblies; and Filters and Networks.,"(1) A microcircuit is defined as follows:  A small circuit having  a high equivalent circuit element density, which is considered as a single part  composed of interconnected elements placed and/or formed on or within a single  substrate to perform an electronic circuit function.  The elements may be  on or within a semiconductor material substrate; may consist of conductive film(s) formed on an insulating substrate; or may be a combination of one or both of these types with discrete elements. (2) The term ""microcircuit"", as applied to circuit devices included in this class, is delimited to exclude items consisting  solely of interconnected ""microcomponents"" (discrete miniaturized components).   Also excluded are items fabricated in the form of monolithic thick-film or thin-film structures that in themselves are not functional electronic circuits   (e.g., capacitors, resistors, transistors, or ""arrays"" thereof).","Integrated Circuit Devices; Integrated Circuit Modules; Integrated Electronic Devices: Hybrid, Magnetic, Molecular, Opto-Electronic, and Thin Film."
5963,ELECTRONIC MODULES,1980-03-15,,Electronic Modules,Microcircuits; Electronic Test Equipment Plug-In Units.,"The term ""electronic module"" as used in this class designates an electronic component designed for use in various equipment or end item  applications, and capable of controlling voltage and/or current to produce  gain, oscillation, switching or similar integral electronic functions.  It consists of a collection of miniaturized electronic parts and/or elements in a  single replaceable package with plug-in mounting which will also complete the  required electrical connections.  It is not normally subject to disassembly as  distinguished from such items as CIRCUIT CARD ASSEMBLY and  ELECTRONIC COMPONENTS ASSEMBLY.  These modules conform to  industry or government specifications/standards that define all physical  dimensions and electrical parameters required to promote commonality and  ensure proper operational performance.",Microcircuits; Electronic Test Equipment Plug-In Units.
5965,"HEADSETS, HANDSETS, MICROPHONES AND SPEAKERS",2011-10-01,,"Headsets, Handsets, Microphones and Speakers",,,
5970,ELECTRICAL INSULATORS AND INSULATING MATERIALS,2011-10-01,,Electrical Insulators and Insulating Materials,,,"Tube, Knob, Cleat, Strain, and Standoff Insulators; Feed Thru  Insulators; Bead Insulators; Varnish Cambrie Tape; Friction Tape."
5975,ELECTRICAL HARDWARE AND SUPPLIES,1978-10-15,,Electrical Hardware and Supplies,,,"Conduit; Raceways; Face Plates; Condulets; Outlet and Junction Boxes; Pole Line Hardware, not elsewhere classifiable."
5977,ELECTRICAL CONTACT BRUSHES AND ELECTRODES,2011-10-01,,Electrical Contact Brushes and Electrodes,"Anodes; Cathodes, Welding Electrodes.",,Brushes for electrical rotating equipment; Carbon Stock for Brushes; Brush Arm and Holders; Lighting Electrodes.
5980,OPTOELECTRONIC DEVICES AND ASSOCIATED HARDWARE,2011-10-01,,Optoelectronic Devices and Associated Hardware,"Electric lighting fixtures, lamps, and associated hardware.",,"Optoelectronic devices and assemblies which display numeric, alphanumeric, symbolic, or graphic information emitters, and nondisplay optoelectronic  devices, such as couplers, detectors, and switches which perform an active function in an  electronic system."
